s_id,sex,age_2017
1,f,15
2,f,53
3,f,39
4,m,59
5,m,48
6,m,13
7,m,19
8,f,29
9,f,23
10,m,60
11,m,16
12,f,32
13,f,34
14,f,53
15,m,17
16,m,53
